league,team,Team,City,Stadium, Capacity ,Latitude,Longitude,Country,geometry
laLiga1,Ath Bilbao,Athletic Bilbao ,Bilbao ,San Mam姓s ,53332,43.2643,-2.9504,Spain,POINT (-2.9504 43.2643)
laLiga1,Valencia,Valencia ,Valencia ,Mestalla ,55000,39.4747,-0.3584,Spain,POINT (-0.3584 39.4747)
laLiga1,Cadiz,,,,"25,033",36.5333,-6.2833,,POINT (-6.2833 36.5333)
laLiga1,Ath Madrid,Atl姓tico Madrid ,Madrid ,Vicente Calder神n ,54851,40.4017,-3.7206,Spain,POINT (-3.7206 40.4017)
laLiga1,Celta,Celta de Vigo ,Vigo ,Bala神dos ,31800,42.2118,-8.7397,Spain,POINT (-8.739699999999999 42.2118)
laLiga1,Espanol,Espanyol ,Cornell神 de Llobregat ,Cornell神-El Prat ,40500,41.3479,2.0757,Spain,POINT (2.0757 41.3479)
laLiga1,Mallorca,Mallorca ,Palma ,Iberostar Stadium ,23142,39.59,2.63,Spain,POINT (2.63 39.59)
laLiga1,Osasuna,Osasuna ,Pamplona ,El Sadar ,19553,42.7967,-1.6369,Spain,POINT (-1.6369 42.7967)
laLiga1,Sevilla,Sevilla ,Seville ,Ram神n S錐nchez Pizju錐n ,45500,37.384,-5.9705,Spain,POINT (-5.9705 37.384)
laLiga1,La Coruna,Deportivo La Coru棲a ,A Coru棲a ,Riazor ,34600,43.3687,-8.4175,Spain,POINT (-8.4175 43.3687)
laLiga1,Real Madrid,Real Madrid ,Madrid ,Santiago Bernab姓u ,85454,40.4531,-3.6884,Spain,POINT (-3.6884 40.4531)
laLiga1,Betis,Betis ,Seville ,Benito Villamar神n ,52500,37.3564,-5.9814,Spain,POINT (-5.9814 37.3564)
laLiga1,Barcelona,Barcelona ,Barcelona ,Camp Nou ,99354,41.3809,2.1228,Spain,POINT (2.1228 41.3809)
laLiga1,Getafe,Getafe ,Getafe ,Coliseum Alfonso P姓rez ,17700,40.3256,-3.7147,Spain,POINT (-3.7147 40.3256)
laLiga1,Malaga,M錐laga ,M錐laga ,La Rosaleda ,30044,36.7341,-4.4264,Spain,POINT (-4.4264 36.7341)
laLiga1,Santander,Racing de Santander,Santander,Campos de Sport de El Sardinero,22222,43.4764,-3.7933,Spain,POINT (-3.7933 43.4764)
laLiga1,Sociedad,Real Sociedad ,San Sebasti錐n ,Anoeta ,32076,43.3014,-1.9736,Spain,POINT (-1.9736 43.3014)
laLiga1,Villarreal,Villarreal ,Villarreal ,El Madrigal ,24890,39.9442,-0.1036,Spain,POINT (-0.1036 39.9442)
laLiga1,Zaragoza,Zaragoza ,Zaragoza ,La Romareda ,34596,41.6366,-0.9018,Spain,POINT (-0.9018 41.6366)
laLiga1,Recreativo,,,,"21,600",37.2464,-6.9542,,POINT (-6.9542 37.2464)
laLiga1,Gimnastic,,,,"14,591",41.1269,1.2728,,POINT (1.2728 41.1269)
laLiga1,Levante,Levante ,Valencia ,Ciutat de Val是ncia ,25534,39.4947,-0.3642,Spain,POINT (-0.3642 39.4947)
laLiga1,Murcia,,,,"31,079",38.0422,-1.1447,,POINT (-1.1447 38.0422)
laLiga1,Almeria,Almer神a ,Almer神a ,Estadio del Mediterr錐neo ,22000,36.84,-2.4353,Spain,POINT (-2.4353 36.84)
laLiga1,Valladolid,Valladolid ,Valladolid ,Nuevo Jos姓 Zorrilla ,26512,41.6444,-4.7611,Spain,POINT (-4.7611 41.6444)
